Project_ID,Project_Type,Target_Cost_INR,Actual_Cost_INR,Cost_Overrun_Percent,Target_Duration_Days,Actual_Duration_Days,Timeline_Overrun_Days,Project_Start_Date,Project_End_Date_Planned,Project_End_Date_Actual,Voltage_Level_kV,Line_Length_km,Number_of_Bays,Terrain_Complexity_Index,Environmental_Impact_Severity,Forest_Land_Required_Ha,Num_Required_Permits,Average_Permit_Lag_Days,Right_of_Way_Delay_Severity,Regulatory_Hotspot_Region,Labour_Cost_Estimate_INR,Material_Cost_Estimate_INR,Num_Skilled_Workers_Required,Vendor_Performance_Rating,Num_Vendor_Change_Events,Material_Availability_Issue,Annual_Rainfall_mm,Num_Extreme_Weather_Days,Commodity_Price_Index_Start,Commodity_Price_Change_During_Project,Historical_Local_Delay_Index,Escalation_Reason_Material,Escalation_Reason_Regulatory,Escalation_Reason_Manpower,Qualitative_Risk_Score,Year,Cost_Per_km_Cr,Duration_Efficiency,Risk_Flag
Joint Venture Project Bikaner_00010,Joint Venture Project,3638986885.15112,5352606111.69065,47.0905579113777,766,830,64,2014-08-07,2016-09-11,2016-11-14,400,417.1,5,Medium (Undulating),Low,78.9607,15,94.2,High,Uttar Pradesh,2112017366.29,10532917421.69,1264,8.3,1,0,842,18,101.4,9.2,3.1,0,1,0,10,2014-15,3.58,0.923,1
Aurangabad-Surat Transmission System 220kV_00011,Transmission System (TBCB),15916891823.4306,17288679516.3957,8.61843950554317,466,670,204,2016-12-11,2018-03-22,2018-10-12,220,270.1,30,Medium (Undulating),Moderate,42.7632,12,39.6,Moderate,Maharashtra,16296381397.06,64087411942.81,3000,6.7,1,1,1367,15,117.5,5.5,1.8,1,0,1,9,2016-17,29.91,0.696,1
Siliguri-Patna Transmission System 400kV_00012,Transmission System,2445212161.98571,3652873658.34829,49.3888225789729,1166,1132,-34,2017-08-16,2020-10-25,2020-09-21,400,995.3,14,Low (Plain),High,0,5,83.2,High,Mizoram,1427794262.44,7464331197.87,2836,9.3,0,0,1253,27,109.2,2.8,2.1,1,1,0,1,2017-18,0.78,1.03,0
Green Hydrogen Tuticorin_00013,Green Hydrogen,1091467871.42121,2098741812.48114,92.2861741911239,595,737,142,2020-04-02,2021-11-18,2022-04-09,400,150.8,4,Low (Desert),Very High,0,7,48.4,Very High,Tamil Nadu,594271128.92,2342382366.86,452,7.1,1,0,957,7,118.5,3.3,2.4,0,1,1,5,2020-21,2.21,0.807,0
Joint Venture Project Surat_00014,Joint Venture Project,19472266049.8474,20718729328.1531,6.4012235407781,2598,2480,-118,2021-10-20,2028-11-30,2028-08-04,220,639.1,6,High (Hilly/Difficult),Low,273.3817,27,100.7,Low,Rajasthan,17011494492.57,74979102926.12,3000,4.4,0,1,376,6,110.4,9.3,2.3,1,1,1,5,2021-22,22.53,1.048,1
Sikar-Jabalpur Cross-Border Transmission Line 220kV_00015,Cross-Border Transmission Line,6514464041.2428,8663010315.67053,32.9811671509026,877,917,40,2015-10-19,2018-03-14,2018-04-23,220,94,10,Medium (Undulating),Low,15.3942,11,63.5,Low,Madhya Pradesh,6390366652.71,29288682316.89,2425,8.1,2,1,1266,30,117.3,8.9,1.9,0,0,0,2,2015-16,36.14,0.956,0
Smart Metering Siliguri_00016,Smart Metering,1798290702.18513,3131617443.85139,74.1441158565805,787,615,-172,2015-11-04,2017-12-30,2017-07-11,765,0,3,Moderate (Hilly),Medium,2.3173,9,48.7,Moderate,Rajasthan,861706866.61,5754228168.71,353,9.2,2,1,287,12,114.2,2.3,2.6,1,1,0,7,2015-16,0,1.28,0
Smart Metering Siliguri_00016,Smart Metering,1798290702.18513,3131617443.85139,74.1441158565805,787,615,-172,2015-11-04,2017-12-30,2017-07-11,400,0,3,Moderate (Hilly),Medium,2.3173,9,48.7,Moderate,Rajasthan,861706866.61,5754228168.71,353,9.2,2,1,287,12,114.2,2.3,2.6,1,1,0,7,2015-16,0,1.28,0
Aurangabad-Bina Transmission System 220kV_00017,Transmission System (TBCB),3564702438.03013,5227331154.71567,46.6414447093182,946,1016,70,2019-03-21,2021-10-22,2021-12-31,220,191.2,34,Medium (Undulating),Low,17.7481,9,65.8,Moderate,Rajasthan,2367599913.52,12401173572.85,1005,7.4,2,1,409,6,95.6,0.1,3.1,1,0,0,9,2019-20,9.5,0.931,1
Luck0w-Coimbatore Transmission Line 765kV Phase-III_00018,Transmission Line (D/C),8786532194.49417,10563683431.07,20.2258547199017,476,1005,529,2023-04-22,2024-08-10,2026-01-21,765,441.6,8,Low (Plain),Low,0,13,102,Low,Jharkhand,8410682808.68,35691857192.89,2230,3.9,1,1,1174,16,95.4,2.8,3.4,1,1,1,5,2023-24,12.67,0.474,1
Healthcare Project Dharamshala_00019,CSR - Healthcare,61195565.8436881,190723974.989326,211.663063099199,354,211,-143,2016-07-26,2017-07-15,2017-02-22,400,0,0,Low (Plain),High,0,4,37,High,Punjab,24791298.26,104909569.52,25,3.9,3,0,564,14,107.6,6,3,0,1,0,6,2016-17,0,1.678,1
Healthcare Project Dharamshala_00019,CSR - Healthcare,61195565.8436881,190723974.989326,211.663063099199,354,211,-143,2016-07-26,2017-07-15,2017-02-22,220,0,0,Low (Plain),High,0,4,37,High,Punjab,24791298.26,104909569.52,25,3.9,3,0,564,14,107.6,6,3,0,1,0,6,2016-17,0,1.678,1
Communication System Telangana_00020,Communication System,350646071.922676,878020362.372796,150.40074099744,533,359,-174,2009-05-28,2010-11-12,2010-05-22,400,175.7,0,Low (Plain),High,0,8,67.2,Low,Telangana,156327471.74,778780892.31,350,7.6,0,0,1208,33,104.7,5.4,2.2,0,0,0,7,2009-10,0.66,1.485,1
Rural Development Project Ramgarh_00021,CSR - Rural Development,67260937.7835255,217382615.642052,223.192959844958,280,272,-8,2009-10-17,2010-07-24,2010-07-16,400,0,0,Low (Plains),Moderate,0,6,59.6,Very High,Nagaland,22458938.72,90028928.19,25,7.8,0,0,1072,17,102.1,6.9,2.8,1,1,1,1,2009-10,0,1.029,0
Srinagar 220kV GIS Substation_00022,Substation,6904733112.40264,9063455772.00684,31.264389578311,534,433,-101,2020-05-17,2021-11-02,2021-07-24,220,0,42,High (Hilly),Medium,11.8044,21,89,Low,Jharkhand,8383517346.87,30308146763.72,2668,4.9,2,1,1185,6,117.6,10.5,2.5,1,1,0,4,2020-21,0,1.233,1
Pondicherry-Agra Transmission System 765kV_00023,Transmission System (TBCB),18795905349.4922,19712200440.3489,4.87497182933811,376,386,10,2016-06-15,2017-06-26,2017-07-06,765,41.1,18,Medium (Undulating),High,7.7405,25,126.3,Moderate,Southern Region,20625058328.88,98237258630.93,3000,7.8,0,0,757,16,114.8,0.5,2.5,0,1,1,4,2016-17,311.44,0.974,0
Education Project Varanasi_00024,CSR - Education,265857128.248737,678579903.00776,155.242320368735,309,320,11,2019-04-05,2020-02-08,2020-02-19,765,0,0,Low (Plains),Medium,0,7,59.3,Moderate,Haryana,109744990.69,463661154.93,26,6.7,0,0,524,6,115.5,1.5,2.3,0,0,1,2,2019-20,0,0.966,0
Education Project Varanasi_00024,CSR - Education,265857128.248737,678579903.00776,155.242320368735,309,320,11,2019-04-05,2020-02-08,2020-02-19,400,0,0,Low (Plains),Medium,0,7,59.3,Moderate,Haryana,109744990.69,463661154.93,26,6.7,0,0,524,6,115.5,1.5,2.3,0,0,1,2,2019-20,0,0.966,0
Education Project Varanasi_00024,CSR - Education,265857128.248737,678579903.00776,155.242320368735,309,320,11,2019-04-05,2020-02-08,2020-02-19,220,0,0,Low (Plains),Medium,0,7,59.3,Moderate,Haryana,109744990.69,463661154.93,26,6.7,0,0,524,6,115.5,1.5,2.3,0,0,1,2,2019-20,0,0.966,0
Varanasi-Vijayawada Transmission Line 220kV_00025,Transmission Line,1925554376.42003,2769088751.83507,43.8073515733853,522,420,-102,2013-08-02,2015-01-06,2014-09-26,220,410.1,11,Low (Coastal),Low,0,8,39.6,Moderate,Jharkhand,1522834027.18,5794236414.91,1153,4.4,2,0,1522,14,107.3,3.2,2.5,1,1,0,2,2013-14,2.81,1.243,1
Pondicherry-Madurai Transmission Line 220kV_00026,Transmission Line (D/C),1938588727.02405,3128559425.47677,61.383349746362,368,379,11,2015-05-25,2016-05-27,2016-06-07,220,270.2,9,Low (Desert),High,0,9,87.3,High,Kerala,1109633755.09,5583945266.84,1015,6.9,0,0,2759,58,95.3,4.3,3,0,1,0,3,2015-16,2.66,0.971,0
Gorakhpur-Kochi HVDC Transmission Line 400kV_00027,HVDC Transmission Line,44382302567.4347,39082757413.6286,-11.9406719508389,1785,1851,66,2011-07-11,2016-05-30,2016-08-04,400,703.5,9,Low (Plains),Low,0,34,175.1,Moderate,Gujarat,53209327475.92,230086394383.98,3000,8.3,1,0,1006,9,99.7,0,1,0,1,1,1,2011-12,44.08,0.964,0
Jodhpur 400/220kV GIS Substation_00028,Substation,9035096760.96388,11804357686.2798,30.6500417049269,319,648,329,2018-07-18,2019-06-02,2020-04-26,400,0,51,Moderate (Hilly),Medium,5.5126,17,100,Low,Jharkhand,8485670401.78,34286407648.82,1991,3.4,3,1,956,18,116.7,13.2,3.1,0,1,1,2,2018-19,0,0.492,1
Jodhpur 400/220kV GIS Substation_00028,Substation,9035096760.96388,11804357686.2798,30.6500417049269,319,648,329,2018-07-18,2019-06-02,2020-04-26,220,0,51,Moderate (Hilly),Medium,5.5126,17,100,Low,Jharkhand,8485670401.78,34286407648.82,1991,3.4,3,1,956,18,116.7,13.2,3.1,0,1,1,2,2018-19,0,0.492,1
Meerut-Coimbatore Transmission System 400kV_00029,Transmission System (TBCB),29663650649.5513,28663932225.817,-3.37018000766344,529,474,-55,2016-11-01,2018-04-14,2018-02-18,400,114.3,43,Low (Plains),Medium,0,30,125.6,Moderate,Uttar Pradesh,37077425292.07,174007241896.18,3000,6.6,0,0,792,17,115.3,11.6,3,0,1,1,2,2016-17,196.64,1.116,0
Kota-Hapur Transmission System 400kV_00030,Transmission System,42565439706.3104,38707805326.7126,-9.06283220898089,1022,870,-152,2015-06-08,2018-03-26,2017-10-25,400,1433.4,29,Low (Plains),High,0,40,164.2,Low,Tamil Nadu,64489264269.11,272477071176.09,3000,7.2,1,0,1013,12,114.3,0.3,3.1,0,1,1,4,2015-16,25.05,1.175,0
Healthcare Project Gandhinagar_00031,CSR - Healthcare,292909125.402732,681572879.798845,132.690899903417,386,574,188,2013-06-06,2014-06-27,2015-01-01,765,0,0,Low (Plain),Low,0,4,36.6,Moderate,Uttar Pradesh,91379004.67,615092986.75,41,7.9,1,0,1146,8,98.4,-4.7,3.5,0,0,1,4,2013-14,0,0.672,1
Healthcare Project Gandhinagar_00031,CSR - Healthcare,292909125.402732,681572879.798845,132.690899903417,386,574,188,2013-06-06,2014-06-27,2015-01-01,400,0,0,Low (Plain),Low,0,4,36.6,Moderate,Uttar Pradesh,91379004.67,615092986.75,41,7.9,1,0,1146,8,98.4,-4.7,3.5,0,0,1,4,2013-14,0,0.672,1
Healthcare Project Gandhinagar_00031,CSR - Healthcare,292909125.402732,681572879.798845,132.690899903417,386,574,188,2013-06-06,2014-06-27,2015-01-01,220,0,0,Low (Plain),Low,0,4,36.6,Moderate,Uttar Pradesh,91379004.67,615092986.75,41,7.9,1,0,1146,8,98.4,-4.7,3.5,0,0,1,4,2013-14,0,0.672,1
Fatehgarh-Bikaner Transmission System 400kV_00032,Transmission System,22616608879.9941,26415792775.8367,16.7982031081735,873,801,-72,2018-11-20,2021-04-11,2021-01-29,400,1186.3,21,Medium (Undulating),High,230.3428,29,116.7,Low,0rthern Region,24538174906.03,135320257245.51,3000,4.1,3,0,998,9,110.8,6,2.4,0,1,1,9,2018-19,20.8,1.09,1
Luck0w-Kanpur Transmission System 220kV_00033,Transmission System,7353284522.65253,9761194055.98999,32.7460405743807,586,599,13,2019-12-17,2021-07-25,2021-08-07,220,979.3,13,Medium (Undulating),Low,143.5718,18,78.2,Moderate,Uttar Pradesh,6122603731.94,28624151542.76,3000,6.9,2,1,990,5,99.2,-0.1,2.5,1,0,0,3,2019-20,4.46,0.978,1
Gwalior 400kV GIS Substation_00034,Substation,2146382426.95288,3396741793.07635,58.2542677587303,565,429,-136,2019-08-28,2021-03-15,2020-10-30,400,0,24,Moderate (Hilly),High,7.9471,8,40,Low,Gujarat,1946381668.13,6970871640.85,489,8.3,0,1,684,17,113.7,2.9,1.7,1,0,0,9,2019-20,0,1.317,1
Pune-Vemagiri Transmission System 220kV Phase-IV_00035,Transmission System (TBCB),9813868473.65204,11887142188.6715,21.1259578277998,895,981,86,2022-01-03,2024-06-16,2024-09-10,220,110.7,24,Low (Coastal),Low,0,15,55.2,Low,Bihar,12038932590.54,42547496564.28,3000,6.7,0,0,1346,22,108.3,-0.1,2.5,0,0,0,5,2022-23,52.23,0.912,0
Udaipur-Faridabad Transmission Line 400kV_00036,Transmission Line (D/C),11341938903.9632,13401837216.9514,18.1617828347535,368,375,7,2024-04-07,2025-04-10,2025-04-17,400,249.6,8,Low (Plains),Moderate,0,9,56.8,Low,Bihar,7463331428.05,47630716915.72,3000,7.6,1,0,1435,21,98.2,6.7,2.6,0,0,0,1,2024-25,23.3,0.981,0
Green Hydrogen Aurangabad_00037,Green Hydrogen,2316555490.49353,4011156462.13123,73.151753911868,573,468,-105,2015-08-04,2017-02-27,2016-11-14,765,443.9,4,Low (Plains),Medium,0,6,43.2,Low,Karnataka,1212049827.89,7299163964.76,1161,8.3,2,1,902,9,99.3,-8.5,2.8,0,0,0,1,2015-16,1.95,1.224,0
Green Hydrogen Aurangabad_00037,Green Hydrogen,2316555490.49353,4011156462.13123,73.151753911868,573,468,-105,2015-08-04,2017-02-27,2016-11-14,400,443.9,4,Low (Plains),Medium,0,6,43.2,Low,Karnataka,1212049827.89,7299163964.76,1161,8.3,2,1,902,9,99.3,-8.5,2.8,0,0,0,1,2015-16,1.95,1.224,0
Dehradun-Purnea Transmission System 765/400/220kV_00038,Transmission System,73539327750.1708,56551527425.096,-23.1002931965684,1780,1960,180,2017-09-25,2022-08-10,2023-02-06,765,1852.1,16,Low (Desert),Low,0,40,160,Moderate,Jammu & Kashmir,130787743129.91,452708814583.79,3000,7.6,0,0,432,16,99.7,6.7,3.6,0,1,1,2,2017-18,33.93,0.908,0
Dehradun-Purnea Transmission System 765/400/220kV_00038,Transmission System,73539327750.1708,56551527425.096,-23.1002931965684,1780,1960,180,2017-09-25,2022-08-10,2023-02-06,400,1852.1,16,Low (Desert),Low,0,40,160,Moderate,Jammu & Kashmir,130787743129.91,452708814583.79,3000,7.6,0,0,432,16,99.7,6.7,3.6,0,1,1,2,2017-18,33.93,0.908,0
Dehradun-Purnea Transmission System 765/400/220kV_00038,Transmission System,73539327750.1708,56551527425.096,-23.1002931965684,1780,1960,180,2017-09-25,2022-08-10,2023-02-06,220,1852.1,16,Low (Desert),Low,0,40,160,Moderate,Jammu & Kashmir,130787743129.91,452708814583.79,3000,7.6,0,0,432,16,99.7,6.7,3.6,0,1,1,2,2017-18,33.93,0.908,0
Healthcare Project Unnao_00039,CSR - Healthcare,183249165.288947,464765590.589347,153.624942769319,269,114,-155,2022-05-22,2023-02-15,2022-09-13,400,0,0,Medium (Undulating),Moderate,2.7136,10,37.2,Moderate,Gujarat,69796743.85,324619560.78,25,8.8,0,0,679,7,96.6,2,1.7,0,1,0,2,2022-23,0,2.36,0
Transmission Project SPV Haridwar_00040,Transmission Project SPV,1124356717.09538,2240260967.12732,99.2482397325581,799,1281,482,2009-07-04,2011-09-11,2013-01-05,220,123.6,2,Low (Plains),High,0,10,63.4,Low,Gujarat,477255831.88,2805267960.76,426,3.2,2,0,768,17,98.5,11.9,1.7,0,0,1,2,2009-10,3.96,0.624,1
Tiruchirappalli-Kolkata Transmission System 400kV_00041,Transmission System,10164048022.1786,12149721240.7683,19.5362439675296,604,755,151,2015-02-20,2016-10-16,2017-03-16,400,1014.5,26,Medium (Undulating),Low,191.9508,18,108,Low,Assam,11087691890.2,53173689162.79,3000,7.3,0,0,1376,29,107.6,2.2,3.7,0,1,1,8,2015-16,7.1,0.8,0
Hubli-Raipur Transmission System 765kV Phase-II_00042,Transmission System (TBCB),25713253341.2901,25450027425.4828,-1.02369743849055,960,1703,743,2023-03-19,2025-11-03,2027-11-16,765,280.9,10,Medium (Undulating),Very High,44.2243,23,131,Very High,Ladakh,29627231018.86,111523791643.07,3000,4.6,2,0,119,16,98.8,4.4,2,0,1,1,7,2023-24,54.17,0.564,1
Kolkata 400kV GIS Substation_00043,Substation,11075604645.8416,13486518620.6923,21.7677865176941,635,764,129,2015-06-09,2017-03-05,2017-07-12,400,0,46,Low (Plain),Moderate,0,10,80.8,Moderate,Maharashtra,7413474796.87,46322451615.11,2539,8.2,0,0,1040,16,98.7,-0.9,2.6,0,1,0,7,2015-16,0,0.831,1
Green Hydrogen Vemagiri_00044,Green Hydrogen,1129583531.76734,1964786670.9666,73.939032901135,599,705,106,2017-03-10,2018-10-30,2019-02-13,220,162.8,2,Low (Plain),Moderate,0,4,31.7,Medium,Andhra Pradesh,818109632,2868029206.88,334,7.4,0,0,1169,19,98.8,4.9,3.8,1,0,1,8,2017-18,2.36,0.85,0
Meerut-Chennai HVDC Link_00045,HVDC Transmission Link,46842460031.3227,40742775088.6528,-13.0217006933264,1747,1977,230,2012-12-10,2017-09-22,2018-05-10,400,1560.9,5,Low (Urban),Low,0,40,200,Very High,Bihar,49421539204.79,239659032168.81,3000,8,1,0,882,19,116,3.4,3,0,1,1,10,2012-13,20.28,0.884,1
Green Hydrogen Hyderabad_00046,Green Hydrogen,1419015519.03108,2735675434.11749,92.7868580313655,384,420,36,2017-09-09,2018-09-28,2018-11-03,400,240.9,0,High (Hilly),Moderate,111.9716,17,88.4,High,Andhra Pradesh,876976945.75,3918293037.99,700,3.9,3,1,1013,16,106.3,2.7,1.7,1,1,0,9,2017-18,2.7,0.914,1
Joint Venture Project Mandsaur_00047,Joint Venture Project,11478334710.0806,13752411774.018,19.8119075752364,1821,1729,-92,2017-07-08,2022-07-03,2022-04-02,800,1380.8,2,Low (Urban),Low,0,18,106.5,Moderate,Rajasthan,6689518496.82,45697519771.01,3000,5.4,2,1,386,7,105.4,16.9,2.3,1,1,1,5,2017-18,4.84,1.053,1
Allahabad-Coimbatore Transmission Line 220kV_00048,Transmission Line,1900724778.28957,3245968116.26902,70.775282847105,1001,1324,323,2022-08-04,2025-05-01,2026-03-20,220,111.5,2,Very High (Hilly),Medium,46.9318,23,76.9,Moderate,Andhra Pradesh,797275151.71,5186814476.29,510,4.3,2,1,1170,11,105,-1.9,2.6,0,0,1,2,2022-23,5.63,0.756,1
Surat-Panipat Cross-Border Transmission Line 400kV_00049,Cross-Border Transmission Line,3639292890.03958,5998639371.90726,64.8298049416413,835,741,-94,2017-09-02,2019-12-16,2019-09-13,400,53.8,3,Low (Plains),Medium,0,6,66.7,Moderate,Western Region,1975480412.7,13318403713.17,1143,8.3,1,0,1144,5,97.6,-1.6,2.2,0,0,0,10,2017-18,28.86,1.127,0
Jalandhar-Warora Transmission System 33kV Phase-III_00050,Transmission System,23785655681.7518,25552931903.2053,7.43000842650451,712,721,9,2020-09-14,2022-08-27,2022-09-05,33,402.6,34,Low (Plain),Low,0,24,107.1,Low,Jharkhand,26341197410.66,130335459191.87,3000,7.1,1,0,1460,32,95.3,-4.3,3.4,1,1,1,1,2020-21,43.4,0.988,0
Hapur-Srinagar Transmission System 765/400kV Phase-IV_00051,Transmission System,83930316245.1002,60847169105.9213,-27.5027524878729,864,891,27,2018-08-12,2020-12-23,2021-01-19,765,900.8,29,High (Hilly),Low,386.8321,40,174.9,Moderate,Madhya Pradesh,91502245094.9,439796106788.02,3000,3.7,4,1,1194,16,105.6,3.8,3.6,1,1,1,5,2018-19,89.16,0.97,1
Hapur-Srinagar Transmission System 765/400kV Phase-IV_00051,Transmission System,83930316245.1002,60847169105.9213,-27.5027524878729,864,891,27,2018-08-12,2020-12-23,2021-01-19,400,900.8,29,High (Hilly),Low,386.8321,40,174.9,Moderate,Madhya Pradesh,91502245094.9,439796106788.02,3000,3.7,4,1,1194,16,105.6,3.8,3.6,1,1,1,5,2018-19,89.16,0.97,1
Grid Management Jodhpur_00052,Grid Management,586903600.811345,1300816675.46203,121.64060224946,231,227,-4,2016-11-13,2017-07-02,2017-06-28,220,295.3,4,Very High (Hilly),High,86.625,18,87.9,Low,Gujarat,244766071.11,1332703784.11,541,7.6,0,0,844,8,95.3,6.4,2.1,0,1,0,3,2016-17,0.6,1.018,0
Shimla-Faridabad Transmission System 220kV_00053,Transmission System,26064480031.6457,24932113580.1535,-4.34448126383998,1335,1192,-143,2017-03-21,2020-11-15,2020-06-25,220,1375.9,22,Low (Plains),Medium,0,24,54.6,Moderate,Sikkim,18969673125.55,125550626140.38,3000,6.7,0,0,854,14,101.1,-3.6,2.1,1,0,1,5,2017-18,11.99,1.12,0
Kanpur-0ida Transmission System 400kV_00054,Transmission System,23445099197.7622,24311786259.3683,3.69666621708644,1191,1249,58,2012-08-26,2015-11-30,2016-01-27,400,1012.3,42,Low (Plains),Moderate,0,24,84.8,Low,Goa,17016148042.95,114283089092.87,3000,7,0,0,884,12,109.9,4.6,3.1,0,1,1,8,2012-13,13.46,0.954,0
Pune 765kV GIS Substation_00055,Substation,3152607479.45548,4602366046.3357,45.9860155863939,318,291,-27,2020-09-04,2021-07-19,2021-06-22,765,0,29,Medium (Undulating),Medium,4.0595,14,86.2,Low,Madhya Pradesh,3557318819.32,13344882037.93,788,9,0,0,1124,10,97.3,-3.9,2.5,0,1,0,6,2020-21,0,1.093,0
Rural Development Project Ghaziabad_00056,CSR - Rural Development,151259606.060213,505911507.451552,234.465704776569,519,522,3,2011-12-10,2013-05-12,2013-05-15,765,0,0,Low (Plain),High,0,10,72.4,Moderate,Madhya Pradesh,61191187.39,251549011.72,25,7,1,1,1091,12,100.5,8.1,2.6,1,1,1,9,2011-12,0,0.994,0
Rural Development Project Ghaziabad_00056,CSR - Rural Development,151259606.060213,505911507.451552,234.465704776569,519,522,3,2011-12-10,2013-05-12,2013-05-15,400,0,0,Low (Plain),High,0,10,72.4,Moderate,Madhya Pradesh,61191187.39,251549011.72,25,7,1,1,1091,12,100.5,8.1,2.6,1,1,1,9,2011-12,0,0.994,0
Rural Development Project Ghaziabad_00056,CSR - Rural Development,151259606.060213,505911507.451552,234.465704776569,519,522,3,2011-12-10,2013-05-12,2013-05-15,220,0,0,Low (Plain),High,0,10,72.4,Moderate,Madhya Pradesh,61191187.39,251549011.72,25,7,1,1,1091,12,100.5,8.1,2.6,1,1,1,9,2011-12,0,0.994,0
Data Center Patna_00057,Data Center,1461750143.36273,2645061354.47193,80.9516740246048,526,549,23,2014-07-21,2015-12-29,2016-01-21,765,424.9,3,Low (Plains),Moderate,0,11,95.1,High,West Bengal,862684940.89,4532288652.24,1139,8.2,0,0,1528,17,98,1.7,2.6,0,1,0,8,2014-15,1.31,0.958,0
